Site	Transect	Bait	Date	Method	Collector	Genus	Species
Reforestation	4	NA	06_VI_2023	Active	Fu.C	Acromyrmex	Acromyrmex_SP1
Forest	2	NA	06_VI_2023	Active	Fu.C	Anochetus	Anochetus_SP1
Forest	1	NA	06_VI_2023	Active	Durvasula.D.V.	Azteca	Azteca_SP1
Forest	2	NA	06_VI_2023	Active	Durvasula.D.V.	Azteca	Azteca_SP2
Reforestation	3	NA	06_VI_2023	Active	Fu.C	Azteca	Azteca_SP3
Forest	4	E	06_VI_2023	bait	Durvasula.D.V.	Basiceros	Basiceros_SP1
Forest	3	NA	06_VI_2023	Active	Durvasula.D.V.	Camonotus	Camonotus_SP1
Forest	2	NA	06_VI_2023	Active	Durvasula.D.V.	Crematogaster	Crematogaster_SP1
Forest	3	NA	06_VI_2023	Active	Durvasula.D.V.	Crematogaster	Crematogaster_SP2
Forest	1	NA	06_VI_2023	Active	Durvasula.D.V.	Crematogaster	Crematogaster_SP3
Reforestation	5	D	06_VI_2023	bait	Durvasula.D.V.	Cyphomyrmex	Cyphomyrmex_SP1
Reforestation	4	E	06_VI_2023	bait	Durvasula.D.V.	Cyphomyrmex	Cyphomyrmex_SP1
Forest	1	A	06_VI_2023	bait	Durvasula.D.V.	Cyphomyrmex	Cyphomyrmex_SP2
Forest	1	NA	06_VI_2023	Active	Durvasula.D.V.	Cyphomyrmex	Cyphomyrmex_SP2
Forest	4	NA	06_VI_2023	Active	Fu.C	Dolichoderus	Dolichoderus_Epetreius
Forest	3	NA	06_VI_2023	Active	Durvasula.D.V.	Dolichoderus	Dolichoderus_Shattucai
Forest	2	NA	06_VI_2023	Active	Durvasula.D.V.	Eciton	Eciton_SP1
Reforestation	5	D	06_VI_2023	bait	Durvasula.D.V.	Ectatomma	Ectatomma_SP1
Reforestation	2	D	06_VI_2023	bait	Fu.C	Ectatomma	Ectatomma_SP1
Forest	1	A	06_VI_2023	bait	Durvasula.D.V.	Ectatomma	Ectatomma_SP2
Forest	3	A	06_VI_2023	bait	Durvasula.D.V.	Ectatomma	Ectatomma_SP2
Reforestation	5	B	06_VI_2023	bait	Durvasula.D.V.	Ectatomma	Ectatomma_SP1
Reforestation	3	A	06_VI_2023	bait	Durvasula.D.V.	Ectatomma	Ectatomma_SP1
Reforestation	4	A	06_VI_2023	bait	Durvasula.D.V.	Ectatomma	Ectatomma_SP1
Reforestation	5	E	06_VI_2023	bait	Durvasula.D.V.	Ectatomma	Ectatomma_SP1
Reforestation	3	E	06_VI_2023	bait	Durvasula.D.V.	Ectatomma	Ectatomma_SP1
Reforestation	2	NA	06_VI_2023	Active	Durvasula.D.V.	Ectatomma	Ectatomma_SP1
Reforestation	2	NA	06_VI_2023	Active	Durvasula.D.V.	Ectatomma	Ectatomma_SP1
Reforestation	3	NA	06_VI_2023	Active	Fu.C	Ectatomma	Ectatomma_SP1
Reforestation	3	NA	06_VI_2023	Active	Fu.C	Ectatomma	Ectatomma_SP1
Reforestation	4	NA	06_VI_2023	Active	Durvasula.D.V.	Ectatomma	Ectatomma_SP1
Forest	2	A	06_VI_2023	bait	Durvasula.D.V.	Gnamptogenys	Gnamptogenys_SP1
Forest	3	NA	06_VI_2023	Active	Durvasula.D.V.	Gnamptogenys	Gnamptogenys_SP1
Reforestation	3	A	06_VI_2023	bait	Durvasula.D.V.	Hypoponera	Hypoponera_SP1
Forest	2	E	06_VI_2023	bait	Durvasula.D.V.	Megalomyrmex	Megalomyrmex_SP1
Forest	3	NA	06_VI_2023	Active	Durvasula.D.V.	Megalomyrmex	Megalomyrmex_SP1
Reforestation	3	A	06_VI_2023	bait	Durvasula.D.V.	Nylanderia	Nylanderia_SP1
Reforestation	2	C	06_VI_2023	bait	Durvasula.D.V.	Nylanderia	Nylanderia_SP1
Reforestation	5	C	06_VI_2023	bait	Durvasula.D.V.	Nylanderia	Nylanderia_SP1
Reforestation	3	E	06_VI_2023	bait	Durvasula.D.V.	Nylanderia	Nylanderia_SP1
Reforestation	3	E	06_VI_2023	bait	Durvasula.D.V.	Nylanderia	Nylanderia_SP1
Reforestation	5	D	06_VI_2023	bait	Durvasula.D.V.	Nylanderia	Nylanderia_SP1
Reforestation	4	D	06_VI_2023	bait	Durvasula.D.V.	Nylanderia	Nylanderia_SP1
Forest	4	A	06_VI_2023	bait	Durvasula.D.V.	Nylanderia	Nylanderia_SP1
Forest	2	C	06_VI_2023	bait	Durvasula.D.V.	Nylanderia	Nylanderia_SP1
Forest	1	NA	06_VI_2023	Active	Durvasula.D.V.	Nylanderia	Nylanderia_SP1
Forest	2	C	06_VI_2023	bait	Durvasula.D.V.	Nylanderia	Nylanderia_SP1
Forest	1	NA	06_VI_2023	Active	Durvasula.D.V.	Nylanderia	Nylanderia_SP1
Forest	2	C	06_VI_2023	bait	Durvasula.D.V.	Nylanderia	Nylanderia_SP1
Reforestation	2	NA	06_VI_2023	Active	Durvasula.D.V.	Nylanderia	Nylanderia_SP1
Reforestation	3	NA	06_VI_2023	Active	Fu.C	Nylanderia	Nylanderia_SP1
Reforestation	4	NA	06_VI_2023	Active	Durvasula.D.V.	Nylanderia	Nylanderia_SP1
Forest	4	A	06_VI_2023	bait	Durvasula.D.V.	Nylanderia	Nylanderia_SP1
Forest	2	C	06_VI_2023	bait	Durvasula.D.V.	Nylanderia	Nylanderia_SP1
Reforestation	2	C	06_VI_2023	bait	Durvasula.D.V.	Odontomachus	Odontomachus_SP1
Reforestation	4	C	06_VI_2023	bait	Durvasula.D.V.	Odontomachus	Odontomachus_SP2
Forest	4	NA	06_VI_2023	Active	Durvasula.D.V.	Odontomachus	Odontomachus_SP2
Forest	3	NA	06_VI_2023	Active	Fu.C	Odontomachus	Odontomachus_SP2
Forest	2	NA	06_VI_2023	Active	Durvasula.D.V.	Odontomachus	Odontomachus_SP2
Reforestation	4	NA	06_VI_2023	Active	Durvasula.D.V.	Odontomachus	Odontomachus_SP2
Reforestation	2	NA	06_VI_2023	Active	Durvasula.D.V.	Odontomachus	Odontomachus_SP2
Forest	2	E	06_VI_2023	bait	Durvasula.D.V.	Pachycondyla	Pachycondyla_SP1
Forest	2	NA	06_VI_2023	Active	Durvasula.D.V.	Pachycondyla	Pachycondyla_SP2
Forest	2	NA	06_VI_2023	Active	Durvasula.D.V.	Pachycondyla	Pachycondyla_SP3
Forest	3	NA	06_VI_2023	Active	Durvasula.D.V.	Pachycondyla	Pachycondyla_SP4
Forest	3	NA	06_VI_2023	Active	Durvasula.D.V.	Parapunera	Parapunera_Clavata
Forest	3	E	06_VI_2023	bait	Durvasula.D.V.	Pheidole	Pheidole_SP1
Reforestation	4	E	06_VI_2023	bait	Durvasula.D.V.	Pheidole	Pheidole_SP5
Forest	4	NA	06_VI_2023	Active	Durvasula.D.V.	Pheidole	Pheidole_SP2
Forest	2	E	06_VI_2023	bait	Durvasula.D.V.	Pheidole	Pheidole_SP2
Forest	4	B	06_VI_2023	bait	Durvasula.D.V.	Pheidole	Pheidole_SP3
Forest	4	B	06_VI_2023	bait	Durvasula.D.V.	Pheidole	Pheidole_SP3
Forest	4	E	06_VI_2023	bait	Durvasula.D.V.	Pheidole	Pheidole_SP1
Forest	4	E	06_VI_2023	bait	Durvasula.D.V.	Pheidole	Pheidole_SP7
Forest	2	A	06_VI_2023	bait	Durvasula.D.V.	Pheidole	Pheidole_SP1
Forest	2	A	06_VI_2023	bait	Durvasula.D.V.	Pheidole	Pheidole_SP2
Forest	4	B	06_VI_2023	bait	Durvasula.D.V.	Pheidole	Pheidole_SP3
Reforestation	4	D	06_VI_2023	bait	Durvasula.D.V.	Pheidole	Pheidole_SP2
Forest	4	A	06_VI_2023	bait	Durvasula.D.V.	Pheidole	Pheidole_SP1
Forest	4	C	06_VI_2023	bait	Durvasula.D.V.	Pheidole	Pheidole_SP2
Forest	4	C	06_VI_2023	bait	Durvasula.D.V.	Pheidole	Pheidole_SP3
Forest	1	NA	06_VI_2023	Active	Fu.C	Pheidole	Pheidole_SP1
Forest	1	NA	06_VI_2023	Active	Durvasula.D.V.	Pheidole	Pheidole_SP2
Forest	3	NA	06_VI_2023	Active	Durvasula.D.V.	Pheidole	Pheidole_SP1
Reforestation	5	NA	06_VI_2023	Active	Fu.C	Pheidole	Pheidole_SP3
Forest	3	NA	06_VI_2023	Active	Durvasula.D.V.	Pheidole	Pheidole_SP3
Forest	1	NA	06_VI_2023	Active	Durvasula.D.V.	Pheidole	Pheidole_SP6
Forest	4	NA	06_VI_2023	Active	Durvasula.D.V.	Pheidole	Pheidole_SP4
Forest	4	NA	06_VI_2023	Active	Fu.C	Pheidole	Pheidole_SP1
Forest	4	A	06_VI_2023	bait	Durvasula.D.V.	Pheidole	Pheidole_SP7
Reforestation	4	NA	06_VI_2023	Active	Durvasula.D.V.	Psecdomyrmex	Psecdomyrmex_SP1
Forest	4	A	06_VI_2023	bait	Durvasula.D.V.	Solenopsis	Solenopsis_SP1
Forest	4	E	06_VI_2023	bait	Durvasula.D.V.	Solenopsis	Solenopsis_SP2
